Name,Abkürzung,Typ,Abteilung,Fachbereich,Link,Beschreibung,Ansprechpartner*In,Aktualisiert
Nachwuchsnetzwerk Öffentliche Gesundheit,NÖG,Netzwerk,,Allgemein,http://noeg.org/,"Das Nachwuchsnetzwerk Öffentliche Gesundheit ist ein offenes Netzwerk von Studierenden, NachwuchswissenschaftlerInnen und -fachkräften verschiedener Disziplinen mit Interesse an öffentlicher Gesundheit.
 
 Das Netzwerk wurde im Dezember 2017 von den studentischen TeilnehmerInnen des zweiten Zukunftsforums Public Health ins Leben gerufen, um eine Plattform für nachhaltigen Austausch und Vernetzung zwischen Studierenden und AbsolventInnen der Fächer Public Health, Medizin und weiterer relevanter Disziplinen zu schaffen. Auf dieser Grundlage möchten wir den Reform- und Entwicklungsprozess der öffentlichen Gesundheit in Deutschland begleiten, der 2015 vom Leopoldina-Gutachten „Public Health in Deutschland“ angestoßen wurde.","Kerstin Sell (sell.kerstin@t-online.de);
 Simon Drees (simondrees@me.com)",N 18
Gesellschaft für Internationale Zusammenarbeit GmbH,GIZ,Staatliche Organisation,Schnell Einsetzbare Expertengruppe Gesundheit (SEEG),Gesundheitssicherheit,https://www.giz.de/de/weltweit/40435.html,"Die Weltgesundheitsorganisation und zahlreiche Staaten arbeiten daher daran, schneller auf Ausbrüche reagieren zu können. Das Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ) hat zu diesem Zweck die schnell einsetzbare Expertengruppe Gesundheit (SEEG) gegründet. Durch kurzfristige Einsätze vor Ort hilft sie dabei, einen Krankheitsausbruch möglichst früh zu erkennen und eine Ausbreitung zu verhindern. Das Projekt wird von der Gesellschaft für internationale Zusammenarbeit (GIZ) in Kooperation mit dem Bernhard-Nocht-Institut für Tropenmedizin und dem Robert Koch-Institut durchgeführt.",Generische Mailadresse (SEEG@giz.de),N 18
German Healthcare Partnership,GHP,Verband,,,https://ghp-initiative.de/,,,N 18
Auswärtiges Amt,AA,Ministerium,,Allgemein,https://www.auswaertiges-amt.de/de,"Das Auswärtige Amt ist zuständig für die deutsche Außenpolitik und die führende staatliche Einrichtung für humanitäre Hilfe und Krisenbewältigung. Das Auswärtige Amt unterhält in der Zentrale in Berlin ein rund um die Uhr verfügbares Crisis Response Office. Die Agentur finanziert Projekte, die sie durch Partnerorganisationen durchführt, und organisiert und liefert Lieferungen in Krisenzeiten. Darüber hinaus hat das Auswärtige Amt die Federführung über den europäischen Emergency Response Mechanismus European Medical Corps",Tobias Bergner (OR-G-L@diplo.de),N 18
Bundesministerium für Gesundheit,BMG,Ministerium,Globale Gesundheit,Allgemein,https://www.bundesgesundheitsministerium.de/,"Das Bundesministerium für Gesundheit ist für mehrere Politikbereiche verantwortlich und konzentriert sich auf die Ausarbeitung von Gesetzentwürfen, Verordnungen und Verwaltungsvorschriften. Das Ministerium ist auch bestrebt, die Gesundheit der Bevölkerung durch Präventionskampagnen zu verbessern und bietet Anreize und finanzielle Mittel in Deutschland auf Bundes- und lokaler Ebene. Es setzt sich aktiv für die Festlegung der globalen Gesundheitsagenda auf nationaler, bilateraler, europäischer und internationaler Ebene ein, auch in Einrichtungen wie dem G20-Gesundheitsgipfel. Weiterhin ist das BMG federführend für die Koordination der WHO zuständig.",Dagmar Reitenbach (dagmar.reitenbach@bmg.bund.de),N 18
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,BMZ,Ministerium,"Globale Gesundheit, Referat 404",Allgemein,http://www.bmz.de/de/index.html,"Das BMZ entwickelt die Leitlinien und die grundlegenden Konzepte, auf denen die deutsche Entwicklungspolitik basiert. Es entwickelt langfristige Strategien für die Zusammenarbeit mit den verschiedenen betroffenen Akteuren und legt die Regeln für die Umsetzung dieser Zusammenarbeit fest. Das Ministerium unterstützt Entwicklungspartnerschaften durch bilaterale Abkommen mit Ländern, mit denen Deutschland Entwicklungszusammenarbeit unterhält, finanziell. Sie bietet technische Unterstützung für die Partnerländer",Generische Mailadresse (RL404@bmz.bund.de),N 18
Stiftung Wissenschaft und Politik,SWP,Stiftung,Globale Gesundheitspolitik,Allgemein,https://www.swp-berlin.org/,"Die Stiftung Wissenschaft und Politik (SWP) in Berlin ist eine Stiftung bürgerlichen Rechts und Trägerin des Deutschen Instituts für Internationale Politik und Sicherheit, das den Deutschen Bundestag, die Bundesregierung sowie politische Entscheidungsträger in für Deutschland wichtigen internationalen Organisationen, vor allem in EU, NATO und den Vereinten Nationen in Fragen der Außen- und Sicherheitspolitik bzw. internationalen Politik berät. Das Institut gehört zu den einflussreichsten deutschen Forschungseinrichtungen für außen- und sicherheitspolitische Fragen und ist die größte Einrichtung seiner Art in Europa.",Maike Voss (maike.voss@swp-berlin.de,N 18
Think Global Health,,Think Tank,,Allgemein,http://thinkglobalhealth.de/,"Think Tank aus Beratern, Wissenschaftlern, Journalisten, Designern und Filmemachern mit der Vision, den Erwerb, die Übersetzung und den Austausch von Wissen im multisektoralen transnationalen Bereich von Global Health zu unterstützen.","Mathias B. Bonk (mathias.bonk@thinkglobalhealth.de)
 Generische Mailadresse (contact@thinkglobalhealth.de)",N 18
Global Health Security Alliance,,Think Tank,,Health Security,https://glohsa.com/,"The Global Health Security Alliance is an independent network of international experts from policy, academics, security and private sectors, driven by the shared understanding that health and security issues have increasing and interrelated global impacts which require a transnational and multi-sectoral approach for mitigation. The GloHSA uniquely offers key decision makers advices regarding whether an issue is related to Global Health Security or not as well as provides them with sound confidential situational analysis to help build a comprehensive decision making process whenever relevant",Generische Mailadresse (info@glohsa.com),N 18
Bundesvertretung der Medizinstudierenden in Deutschland e.V.,bvmd,Studierendenorganisation,AG Public Health,Allgemein,https://www.bvmd.de/wer-wir-sind/arbeitsgruppen/ag-public-health/,"Die AG Public Health ist zuständig für Aufklärung über Public Health Themen (vor allem unter Medizinstudierenden, zB. stärkere Einbrigung von Public Health Inhalten in die Lehre), der Interessenvertretung von Medizinstudieren im Public Health Bereich sowie die Koordination von verschiedenen Studierenden Projekten, die in diesen Bereich fallen.",generische Mailadresse (npo@bvmd.de),N 18
Bundesvertretung der Medizinstudierenden in Deutschland e.V.,bvmd,Studierendenorganisation,GandHI (Globalisation and Health Initiative),Allgemein,https://www.bvmd.de/unsere-arbeit/projekte/gandhi/,"Das Global Health Projekt der bvmd ist ein Netzwerk von Medizinstudierenden, die sich auf wissenschaftlicher und politischer Ebene mit verschiedenen Themen globaler Gesundheit beschäftigen. Wir sind eine Plattform für Austausch, Vernetzung und gemeinsames Lernen und Handeln.",generische Mailadresse (gandhi@bvmd.de ),N 18
Bundesvertretung der Medizinstudierenden in Deutschland e.V.,bvmd,Studierendenorganisation,AG Medizin und Menschenrechte,Gesundheit als Menschenrecht,https://www.bvmd.de/wer-wir-sind/arbeitsgruppen/ag-medizin-und-menschenrechte/,"Die AG Medizin und Menschenrechte der bvmd befasst sich mit Themen wie z.B. Menschenrechte und Menschenrechtsinstitutionen, globale Gesundheit, humanitäre Einsätze, Flüchtlingsthemen, soziale Ungleichheit, Kindesmisshandlung, weibliche Genitalverstümmelung etc.. Ziel der AG ist es, Medizinstudierende für die verschiedenen Menschenrechtsbereiche zu sensibilisieren, damit sie sich mit ihrer Rolle in diesen Gebieten selbstkritisch auseinandersetzen und reflektieren können.",generische Mailadresse ( norp@bvmd.de),N 18
